game_number,120,150,180,210,240,300,label_code,label,predicted_limit,predicted_direction,correct
0,0.09164030156290218,0.3223248032497258,0.22287915515856693,0.27137928441527515,0.07024530401658884,0.02153115159694107,3,180,210,Under,True
1,0.05502976190476191,0.10214285714285713,0.333135545010545,0.43958270895770885,0.03770833333333333,0.03240079365079365,3,180,210,Under,True
2,0.10138659951159949,0.32554365225417853,0.20353158172237115,0.31636987646856063,0.05004329004329004,0.003125,3,180,210,Under,True
3,0.10531593406593406,0.20574654512154514,0.27980047730047725,0.33241064491064487,0.07255973193473195,0.004166666666666667,1,120,210,Under,True
4,0.015,0.10826673326673328,0.25906225718725717,0.513968808968809,0.09536886724386724,0.008333333333333333,3,180,210,Under,True
5,0.05592261904761905,0.061112290487290485,0.34852737540237533,0.36713904151404153,0.1602153402153402,0.007083333333333333,4,210,180,Over,True
6,0.20448405760905758,0.29253538128538115,0.2709065934065934,0.12200993450993451,0.1100640331890332,0.0,2,150,180,Under,True
7,0.038612012987012986,0.10108384262796026,0.36529255058666826,0.41361007864684335,0.0629491341991342,0.01845238095238095,4,210,210,Under,True
8,0.08573051948051946,0.21607683982683984,0.38009108946608944,0.24739718614718614,0.07070436507936509,0.0,4,210,180,Under,False
9,0.04377344877344877,0.12832792207792212,0.36034444721944714,0.2530819874569874,0.21169441669441671,0.0027777777777777775,4,210,180,Over,True
10,0.06792929292929292,0.23172348484848487,0.2648138666888667,0.24509192196692195,0.15505196192696197,0.03538947163947165,3,180,210,Under,True
11,0.17270299145299142,0.26387362637362644,0.35405296092796096,0.12998550061050057,0.07660714285714285,0.0027777777777777775,1,120,180,Under,True
12,0.12345695970695972,0.33652319902319905,0.2450671550671551,0.2680296092796092,0.021923076923076924,0.005,1,120,180,Under,True
13,0.07596792096792097,0.293310162060162,0.23478507603507598,0.24785513098013098,0.12718524531024528,0.020896464646464646,4,210,210,Under,True
